"Name;Ticker"
"Airtel Africa;AAF"
"Anglo American;AAL"
"Abrdn Plc;ABDN"
"AB Foods;ABF"
"Admiral;ADM"
"Ashtead Group;AHT"
"Antofagasta;ANTO"
"Auto Trader;AUTO"
"Aviva;AV"
"Astrazeneca;AZN"
"BAE Systems;BA"
"Barclays;BARC"
"British American Tobacco;BATS"
"Barratt Developments;BDEV"
"Beazley;BEZ"
"Berkeley Group;BKG"
"British Land;BLND"
"B&M;BME"
"Bunzl;BNZL"
"BP;BP"
"Burberry;BRBY"
"BT;BTA"
"Coca-Cola HBC;CCH"
"Centrica;CNA"
"Compass Group;CPG"
"Croda International;CRDA"
"CRH;CRH"
"ConvaTec;CTEC"
"DCC;DCC"
"Diageo;DGE"
"Endeavour Min;EDV"
"Entain;ENT"
"Experian;EXPN"
"F&C Investment Trust;FCIT"
"Flutter Ent;FLTR"
"Frasers Grp;FRAS"
"Fresnillo;FRES"
"Glencore;GLEN"
"Glaxosmithkline;GSK"
"Hargreaves Lansdown;HL"
"Halma;HLMA"
"Haleon;HLN"
"HSBC Holdings;HSBA"
"Hiscox;HSX"
"International Airlines;IAG"
"InterContinental Hotels;IHG"
"3i Group;III"
"Imperial Brands;IMB"
"Informa;INF"
"Intertek Group;ITRK"
"JD Sports;JD"
"Johnson Matthey;JMAT"
"Kingfisher;KGF"
"Land Securities;LAND"
"Legal & General;LGEN"
"Lloyds;LLOY"
"Lon.stk.exch;LSEG"
"Mondi;MNDI"
"M&g Plc;MNG"
"Melrose;MRO"
"National Grid;NG"
"Natwest;NWG"
"Next;NXT"
"Ocado;OCDO"
"Phoenix Group Holdings;PHNX"
"Prudential;PRU"
"Pershing Square Holdings;PSH"
"Persimmon;PSN"
"Pearson;PSON"
"Relx;REL"
"Rio Tinto;RIO"
"Reckitt Ben. Gp;RKT"
"Rightmove;RMV"
"Rolls-Royce;RR"
"Rs Group;RS1"
"Rentokil Initial;RTO"
"Sainsbury;SBRY"
"Schroders;SDR"
"Sage Group;SGE"
"Segro;SGRO"
"Shell;SHEL"
"Smurfit Kappa;SKG"
"Smith;SMDS"
"Smiths Group;SMIN"
"Scottish Mortgage;SMT"
"Smith & Nephew;SN"
"Spirax-Sarco;SPX"
"SSE;SSE"
"Standard Chartered;STAN"
"St James Place;STJ"
"Severn Trent;SVT"
"Tesco;TSCO"
"Taylor Wimpey;TW"
"Unilever;ULVR"
"Unite;UTG"
"United Utilities;UU"
"Vodafone;VOD"
"Weir Group;WEIR"
"WPP;WPP"
"Whitbread;WTB"
